CSP_ID	SCORED_TICKETS	WITHIN_TAT	BREACHED	KAPTURE_FIRST_ANY	SYNC_LOSS	UNFAIR_BREACH
a0b7a3	203	5	198	178	23	23
a0b9x0	285	53	232	63	14	14
a0b6l5	338	52	229	235	11	10
a0b6k3	113	38	75	49	10	10
a0b7i3	154	21	130	68	9	9
a0b6h3	339	24	251	240	10	7
a0b5s8	106	10	94	53	7	6
a0b6p6	63	33	28	18	6	6
a0b9e3	131	47	70	40	5	5
a0b6w0	106	48	58	16	5	5
a0b9u4	49	17	32	11	5	5
a0b5q1	237	129	106	23	4	4
a0b7d5	234	135	98	21	4	4
a0b6s7	195	168	27	8	4	4
a0b6b1	169	116	53	16	4	4
a0b8q3	162	90	71	16	4	4
a0b6o2	132	99	33	12	4	4
a0b9p9	107	67	40	15	4	4
a0a7e7	105	46	59	22	4	4
a0b9h9	72	42	30	17	4	4
a0b6l4	72	19	46	33	4	4
a0b9q0	51	13	29	26	5	4
a0b5s1	40	3	19	32	4	4
a0b6p4	155	109	45	15	3	3
a0b9z3	143	111	32	5	3	3
a0b6x2	137	64	51	32	3	3
a0b6v6	135	96	39	9	3	3
a0b9w6	110	27	65	35	3	3
a0c0h2	101	2	45	88	9	3
a0b6s6	98	52	46	15	3	3
a0b6v7	83	45	37	15	3	3
a0b9l3	76	2	51	68	7	3
a0c0d8	72	24	48	18	3	3
a0b8z1	72	49	23	5	3	3
a0b5n8	54	15	39	7	3	3
a0b9t4	16	7	9	5	3	3
a0b6o1	338	260	77	10	2	2
a0b9v7	331	260	71	15	2	2
a0b9n7	196	102	94	16	2	2
a0b8s5	190	158	32	18	2	2
a0b9p1	161	120	41	4	2	2
a0a7b0	160	128	31	5	2	2
a0b6b0	122	67	35	33	4	2
a0b6a4	108	87	21	5	2	2
a0a6y4	108	74	34	10	2	2
a0b5r5	107	98	9	3	2	2
a0a7a2	93	82	11	3	2	2
a0b6n4	88	50	38	5	2	2
a0a7a7	88	54	34	12	2	2
a0b5q0	88	60	28	9	2	2
a0b9r9	83	78	5	5	2	2
a0b7i8	79	52	27	5	2	2
a0b6k5	72	35	37	9	2	2
a0b7g0	70	44	26	8	2	2
a0b6p2	66	30	36	5	2	2
a0a7h1	60	49	11	7	2	2
a0b8s6	56	19	31	18	2	2
a0b8r2	56	18	38	14	2	2
a0b9j9	53	33	20	5	2	2
a0b6k4	53	24	29	6	2	2
a0b6v4	53	29	24	8	2	2
a0a7h2	50	21	29	12	2	2
a0b5p4	46	31	14	9	2	2
a0b5q2	45	29	16	10	5	2
a0b5z3	42	19	20	14	3	2
a0b8q8	40	19	20	8	2	2
a0b5o4	38	21	14	7	2	2
a0b6c4	34	6	28	10	2	2
a0b5w7	31	6	19	19	2	2
a0b7f3	31	15	12	10	2	2
a0b7h9	31	5	16	15	2	2
a0b9a6	29	17	12	3	2	2
a0c0a1	27	23	4	2	2	2
a0b9f2	26	13	13	6	2	2
a0b9t3	25	15	10	4	2	2
a0b6e7	24	10	11	6	2	2
a0a7b2	22	15	7	2	2	2
a0b5p0	21	4	15	5	2	2
a0b6z7	18	2	13	13	4	2
a0b5o2	407	338	69	18	2	1
a0b6j9	359	333	26	9	1	1
a0b9c0	295	276	18	7	1	1
a0b9k4	271	244	27	7	1	1
a0c0d2	260	199	61	8	1	1
a0b6d8	239	234	5	13	6	1
a0b9v1	213	183	28	12	1	1
a0b5n4	207	146	60	14	1	1
a0c0b8	184	162	22	6	1	1
a0b6h5	178	131	47	5	1	1
a0b7g1	169	79	89	9	2	1
a0b8p3	168	146	22	7	1	1
a0b7d7	163	140	23	7	1	1
a0b8o8	154	135	19	5	1	1
a0c0b0	147	103	44	6	1	1
a0c0g4	137	91	46	9	1	1
a0b6r2	136	117	19	10	1	1
a0b8v9	118	111	7	2	1	1
a0b6g7	118	95	23	10	1	1
a0b8o2	114	109	5	8	1	1
a0b5s0	112	83	29	4	1	1
a0b9k9	109	92	17	5	1	1
a0b9r2	102	59	35	17	1	1
a0b9v9	98	86	12	3	1	1
a0b6e8	97	62	34	12	2	1
a0b8t0	93	4	2	89	11	1
a0b6q2	93	67	26	2	1	1
a0a6z7	92	81	11	4	1	1
a0b6z2	90	66	24	3	1	1
a0b9y1	88	59	28	7	1	1
a0b6c5	86	65	21	8	1	1
a0b9i8	83	81	2	7	1	1
a0a7h0	82	66	16	4	1	1
a0b9m1	81	64	17	3	1	1
a0b6m6	81	69	12	5	1	1
a0b8w3	79	65	14	6	1	1
a0b5n9	78	18	51	45	1	1
a0b9k7	76	41	35	11	1	1
a0b9j1	74	53	21	4	1	1
